stage,acceptance_id,primary_loop,supporting_loops,required_evidence,status,evidence_path,checker_verdict,notes
1,A-LEARN-01,S1-12,S1-13,单learner×0.5，其余吞吐变化≤2%,passed,evidence/indexes/S1-12.md,PASS,Integrated four-host control rates [128;128;128;128] become [128;128;128;64] when only learner-03 is half scheduled; unaffected changes are zero while publications adoptions and syncer commits remain active
1,A-LEARN-02,S1-08,,adoption只覆盖目标fragment,passed,evidence/indexes/S1-08.md,PASS,Two formal adoptions match verified target payload hashes while every non-target parameter hash remains byte-identical
1,A-LEARN-03,S1-12,S1-08,mixed-version持续训练,passed,evidence/indexes/S1-08.md; evidence/indexes/S1-12.md,PASS,All four real learners complete five consecutive finite optimizer steps at mixed vector [1;0] with no alignment wait in the complete Profile A path
1,A-PERF-01,S1-10,S1-13,稳态无完整模型传输,passed,evidence/indexes/S1-10.md,PASS_WITH_FOLLOWUPS,Every selected update transfers and materializes only its 4 MiB target fragment with exact byte accounting and zero 16 MiB full-model operations; S1-13 remains real-baseline corroboration
1,A-ALG-01,S1-12,S1-10,L2≤1e-6且50updates无漂移放大,passed,evidence/indexes/S1-10.md; evidence/indexes/S1-12.md,PASS,All 100 encoded Profile A transitions stay below 1e-6 with maximum 1.196e-8 and zero momentum error; Checker independently reproduces fragment-0 cycle-37 parameters and momentum exactly
1,A-EVAL-01,S1-12,,frozen version-vector snapshot,passed,evidence/indexes/S1-12.md,PASS,Captured and loaded [1;1] identities and bytes remain exact while current advances to [5;5]; restart audit records one manifest two frozen payloads and zero current latest unauthorized or path-escape reads
2,A-PERF-02,S2-03,,1/10 FS ≥2h queues/temp有界,not_started,,,
2,A-PERF-04,S2-05,,160M与0.5–1B GPU goodput≥95%,not_started,,,
2,A-PERF-05,S2-05,S2-02,snapshot+adoption pause≤2%,not_started,,,
2,A-PERF-06,S2-04,S2-05,snapshot/write/discover/read/adopt分解,not_started,,,
3,A-REC-01,S3-02,S3-04,syncer kill-restart≤2×正常interval，10次,not_started,,,
3,A-REC-02,S3-01,S3-04,learner≤5min恢复，loss无非法跳变,not_started,,,
3,A-REC-03,S3-03,,中断矩阵仅旧/新合法state,not_started,,,
3,A-REC-04,S3-04,,quorum不足停/恢复自动续，其他fragment前进,not_started,,,
4,A-STALE-01,S4-02,,s=0等价fresh,not_started,,,
4,A-STALE-02,S4-02,,s=1使用old base,not_started,,,
4,A-STALE-03,S4-02,,s>Smax拒绝,not_started,,,
4,A-STALE-04,S4-02,,missing/wrong base identity拒绝,not_started,,,
4,A-STALE-05,S4-04,,tokens/(1+lambda*s)并归一化,not_started,,,
4,A-STALE-06,S4-03,,每update至少Q_fresh fresh,not_started,,,
4,A-STALE-07,S4-05,,stale accepted>5%，与sim偏差≤2×,not_started,,,
4,A-PROP-04,S4-04,,same-base trajectory不重复消费,not_started,,,
4,A-PROP-05,S4-04,,delayed old publication不使latest倒退,not_started,,,
4,A-ALG-02,S4-06,,fresh/stale独立matched-token结果,not_started,,,
5-deferred,A-PERF-03,DEFERRED_STAGE5,S1-04;S1-05;S2-03,1000+ updates中history-independent长期证据,deferred_stage5,,,
